X,Y,Council_ID,Administrative_Authority,Name,Address1,Address2,Town,Postcode,County,Services,Phone,Email,Website,Image,WGS84Latitude,WGS84Longitude,Opening_Hours_Monday,Opening_Hours_Tuesday,Opening_Hours_Wednesday,Opening_Hours_Thursday,Opening_Hours_Friday,Saturday,OBJECTID
-8.221234066234722,53.089934729200522,GY,GALWAY COUNTY COUNCIL,PORTUMNA LIBRARY,CASTLE AVENUE,,PORTUMNA,000000,COUNTY GALWAY,,+353 90 9741261,portumna@galwaylibrary.ie,http://www.galway.ie/en/Services/Library/,,53.089929,-8.221248,14:00 to 17:30 and 18:30 to 20:30,9:30 to 13:00 and 14:00 to 17:30,14:00 to 17:30 and 18:30 to 20:30,9:30 to 13:00 and 14:00 to 17:30,9:30 to 13:00 and 14:00 to 17:30 and 18:30 to 20:30,11:00 to 13:00 and 14:00 to 17:30,11
-8.326220094304196,53.523420746903682,GY,GALWAY COUNTY COUNCIL,BALLYGAR LIBRARY,MARKET SQUARE,,BALLYGAR,000000,COUNTY GALWAY,,+353 (0) 90 6624919,ballygar@galwaylibrary.ie,http://www.galway.ie/en/Services/Library/,,53.523411,-8.326236,Closed,11:00 to 13:00,14:00 to 16:00,16:00 to 18:00,14:00 to 16:00,11:00 to 13:00,12
-8.744370301783485,53.617615915145798,GY,GALWAY COUNTY COUNCIL,DUNMORE PUBLIC LIBRARY,HIGH STREET,,DUNMORE,000000,COUNTY GALWAY,,+353 (0) 93 38923,dunmore@galwaylibrary.ie,http://www.galway.ie/en/Services/Library/,,53.617604,-8.744384,Closed,14:30 to 17:00 & 18:00 to 20:00,11:30 to 13:30,14:30 to 17:00 & 18:00 to 20:00,11:30 to 13:30 & 14.30 to 17:00,11:30 to 13:30 & 14:30 to 17:00,13
-10.02045095089909,53.487453074278875,GY,GALWAY COUNTY COUNCIL,CLIFDEN PUBLIC LIBRARY,MARKET STREET,,CLIFDEN,000000,COUNTY GALWAY,,+353 (0) 95 21092,clifden@galwaylibrary.ie,http://www.galway.ie/en/Services/Library/,,53.487437,-10.020451,14:30 to 18:00 and 18:30 to 20:30,10:30 to 13:00 and 14:30 to 18:00,14:30 to 18:00 and 18:30 to 20:30,10:30 to 13:00 and 14:30 to 18:00,10:30 to 13:00 and 14:30 to 18:00,10:30 to 13:00 and 14:30 to 18:00,14
-9.303819793255522,53.244051251994819,GY,GALWAY COUNTY COUNCIL,Leabharlann An Spidéal,SPIDDAL WEST,,SPIDDAL,000000,COUNTY GALWAY,,+353 (0) 91 504028,anspideil@galwaylibrary.ie,http://www.galway.ie/en/Services/Library/,,53.244041,-9.303827,Closed,14.30 to 17:00,10:00 to 12:00 and 19:00 to 21:00,14:30 to 17:00,10:00 to 12:00 and 19:00 to 21:00,10:00 to 12:00 and 15:00 to 17:00,15
-8.226165258394921,53.330575886297176,GY,GALWAY COUNTY COUNCIL,BALLINASLOE PUBLIC LIBRARY,MCNEVIN AVENUE,,BALLINASLOE,000000,COUNTY GALWAY,,+353 (0) 90 9643464,ballinasloe@galwaylibrary.ie,http://www.galway.ie/en/Services/Library/,,53.330568,-8.226181,Closed,11:00 to 13:00 and 14:00 to 20:00,11:00 to 13:00 and 14:00 to 17:00,11:00 to 13:00 and 14:00 to 20:00,11:00 to 13:00 and 14:00 to 17:00,11:00 to 13:00 and 14:00 to 17:00,16
-8.56596240969532,53.487909546516875,GY,GALWAY COUNTY COUNCIL,MOYLOUGH PUBLIC LIBRARY,MOYLOUGH COMMUNITY CENTRE,,MOYLOUGH,000000,COUNTY GALWAY,,+353 (0) 90 9679072,moylough@galwaylibrary.ie,http://www.galway.ie/en/Services/Library/,,53.487899,-8.565977,Closed,15:00 to 17:00,15:00 to 17:00,17:00 to 19:00,15:00 to 17:00,11:00 to 13:00,17
-8.566908288502823,53.198194969415653,GY,GALWAY COUNTY COUNCIL,LOUGHREA PUBLIC LIBRARY,CHURCH STREET,,LOUGHREA,000000,COUNTY GALWAY,,+353 (0) 91 847220,loughrea@galwaylibrary.ie,http://www.galway.ie/en/Services/Library/,,53.198187,-8.566921,Closed,10:30 to 13:00 and 14:00 to 19:00,10:30 to 13:00 and 14:00 to 18:00,10:30 to 13:00 and 14:00 to 18:00,10:30 to 13:00 and 14:00 to 18:00,10:30 to 13:00 and 14:00 to 17:00,18
-8.929424141641853,53.267484630081135,GY,GALWAY COUNTY COUNCIL,ORANMORE PUBLIC LIBRARY,MAIN STREET,,ORANMORE,000000,COUNTY GALWAY,,+353 (0) 91 792117,oranmore@galwaylibrary.ie,http://www.galway.ie/en/Services/Library/,,53.267475,-8.929434,Closed,11:00 to 13:00 & 14:00 to 17:00,1:00 to 13:00 & 14:00 to 20:00,11:00 to 13:00 & 14:00 to 20:00,11:00 to 13:00 & 14:00 to 17:00,11:00 to 13:00 & 14:00 to 17:00,19
-9.601874062006949,53.26291938755994,GY,GALWAY COUNTY COUNCIL,Leabharlann An Cheathrú,CARRAROE SOUTH,,An Cheathrú Rua,000000,COUNTY GALWAY,,+353 (0) 91 595733,anceathrurua@galwaylibrary.ie,http://www.galway.ie/ga/Seirbhisi/AnLeabharlann/,,53.262907,-9.601878,Closed,10:30 to 13:00 and 14:00 to 20:00,10:30 to 13:00 and 14:00 to 17:00,10:30 to 13:00 and 14:00 to 20:00,10:30 to 13:00 and 14:00 to 17:00,10:30 to 13:00 and 14:00 to 17:00,20
-8.819942755861504,53.065200510165212,GY,GALWAY COUNTY COUNCIL,GORT PUBLIC LIBRARY,CHURCH ROAD,,GORT,000000,COUNTY GALWAY,,+353 (0) 91 631224,gort@galwaylibrary.ie,http://www.galway.ie/en/Services/Library/,,53.065193,-8.819953,Closed,14:00 to 17:00 and 18:00 to 20:00,14:00 to 17:00,14:00 to 17:00,11:30 to 13:00 and 14:00 to 17:00,11:30 to 13:00 and 14:00 to 17:00,21
-9.325230216486348,53.427476446177494,GY,GALWAY COUNTY COUNCIL,OUGHTERARD PUBLIC LIBRARY,THE COURTHOUSE,MAIN STREET,OUGHTERARD,000000,COUNTY GALWAY,,+353 (0) 91 557002,oughterard@galwaylibrary.ie,http://www.galway.ie/en/Services/Library/,,53.427464,-9.325238,Closed,14:00 to 16:00 and 18:00 to 20:00,11:00 to 14:00,14:00 to 16:00 and 18:00 to 20:00,14:00 to 17:00,11:00 to 13:00,22
-8.55782086510192,53.60600394741526,GY,GALWAY COUNTY COUNCIL,Glenamaddy Library,SAINT BRIGIDS HALL,Main Street,Glenamaddy,000000,County Galway,,+353 (0) 94 9659734,glenamaddy@galwaylibrary.ie,http://www.galway.ie/en/Services/Library/,,53.605993,-8.557836,Closed,14:30 to 16:30,14:30 to 16:30,17:00 to 19:00,14:30 to 16:30,11:00 to 13:00,23
-10.212832875367752,53.614255869018351,GY,GALWAY COUNTY COUNCIL,Inishbofin Library,INISHBOFIN COMMUNITY CENTRE,Middlequarter,Inishbofin,000000,County Galway,,+353 (0) 95 45891,inishbofin@galwaylibrary.ie,http://www.galway.ie/en/Services/Library/,,53.614238,-10.21283,Closed,16:00 to 18:00,Closed,16:00 to 18:00,Closed,14:00 to 16:00,24
-9.589057779847483,53.087290020148131,GY,GALWAY COUNTY COUNCIL,Leabharlann Inis Meáin,CARROWNTEMPLE,INIS MEÁIN,Baile an Teampaill,000000,County Galway,,+353 (0) 99 73126,inismeain@galwaylibrary.ie,http://www.galway.ie/en/Services/Library/,,53.08728,-9.589062,Closed,14:00 to 16:00,Closed,19:00 to 21:00,Closed,14:00 to 16:00,25
-9.514641451622447,53.064502891195936,GY,GALWAY COUNTY COUNCIL,Leabharlann Inis Oírr,COMHAR CAOMHAN TEORANTA,An Trá,Inis Oírr,000000,County Galway,,+353 (0) 99 75154,inisoirr@galwaylibrary.ie,http://www.galway.ie/en/Services/Library/,,53.064493,-9.514646,Closed,14:30 to 16:30,Closed,14:30 to 16:30,Closed,12:00 to 14:00,26
-8.288751031726317,53.164690823426838,GY,GALWAY COUNTY COUNCIL,Killimor Public Library,Main Street,,Killimor,000000,County Galway,,+353 (0) 90 9676062,killimor@galwaylibrary.ie,http://www.galway.ie/en/Services/Library/,,53.164684,-8.288765,Closed,14:00 to 16:00,17:00 to 19:00,14:00 to 16:00,10:00 to 12:00,16:00 to 18:00,27
-9.947595989087361,53.552656446280302,GY,GALWAY COUNTY COUNCIL,Letterfrack Library,Furniture College,,Letterfrack,000000,County Galway,,+353 (0) 91 742666,letterfrack@galwaylibrary.ie,http://www.galway.ie/en/Services/Library/,,53.55264,-9.947597,Closed,17:30 to 19:30,14:00 to 16:00,17:30 to 19:30,14:00 to 16:00,11:00 to 13:00,28
-9.052011015315966,53.271532932942051,GY,Galway County Council,Galway City Library,HYNES BUILDINGS,HYNES BUILDINGS,Galway City,000000,County Galway,,+353 (0) 91 561666,info@galwaylibrary.ie,http://www.galway.ie/en/Services/Library/,,0,0,2.00pm to 5.00pm,11.00am to 8.00pm,11.00am to 8.00pm,11.00am to 8.00pm,11.00am to 5.00pm,11.00am to 5.00pm,29
